	movie_id	character	agent_verbs	patient_verbs	attributes	title	religion	age	death	children
22315	5252749	Ned Lynch			['Boyle', 'help']	Captain				
22316	23176545	Davis	['replies', 'owners', 'tells']							
22317	23176545	Gilbert	['complains']		['office', 'client']					
22318	23176545	Baldwin	['daydreams', 'fighting', 'covers', 'owners', 'says', 'decides']	['go', 'leads', 'wonder']		secretary				
22319	7766704	Sissy Hankshaw	['makes']							
22320	18640305	Shelley Darlington	['remained', 'meets', 'left', 'changes', 'starts', 'help', 'time', 'reconcile', 'coming', 'washing', 'crash', 'leaves', 'asks', 'decides', 'seems', 'becomes', 'explains', 'tries', 'gives', 'goes', 'thrilled', 'returns', 'upset']	['deny', 'know', 'start', 'take']	['nature', 'ability', 'photoshoot', 'real', 'losing', 'behalf']	student				
22321	18640305	Natalie	['failing', 'has', 'washing', 'start', 'reveals', 'embarrasses']	['impress', 'sacrifice']						
22322	18640305	Ashley	['delivers', 'throws']		['friend', 'nature']					
22323	18640305	Oliver	['reconcile', 'works', 'looking', 'finds']	['contacted', 'impress', 'meets', 'likes']	['named']					
22324	18640305	Colby	['them', 'start', 'one']		['boy']					
22325	18640305	Lily	['mailing']							
22326	18640305	Hugh Hefner		['tell', 'calling']						
22327	20557238	Marcella Galdi	['gets', 'unwilling', 'manages']	['hide', 're-meets', 'introduce', 'orders']						
22328	20557238	Bluenzli	['waiting', 'tries', 'met', 'shot']	['trustworthy', 'meets', 'arrested', 'consider', 'blackmail']						
22329	20557238	Michael von Hombergk	['stays', 'convinces', 'sets', 'arranges', 'takes', 'meets', 'manages', 're-meet']	['dancing', 'fly', 'hide', 'get']						
22330	20557238	Coronello Ramenelli	['appears']		['chief']					
22331	20557238	Valenti		['Count', 'known']	['friend']	Count				
22332	20557238	Sacher			['famous']					
22333	20557238	Davila			['customers']					
22334	23499575	Theodora	['refuses', 'falls', 'goes', 'slips', 'tells', 'dangles', 'unfaithful', 'writes']	['lower', 'run', 'persuade', 'change', 'befriend']	['sisters']					
22335	23499575	Fitzgerald	['support']		['guardsman']	Captain				
22336	23499575	Hector Bracondale	['rescued', 'stops', 'leaves', 'reads', 'climbs', 'stay', 'appears', 'has', 'strives']	['desires', 'accuses', 'tells', 'do']						
22337	23499575	Josiah Brown	['joins', 'accuses', 'decides']	['stop', 'persuaded', 'fund', 'put', 'called']		grocer				
22338	23499575	Josiah Brown	['joins', 'accuses', 'decides']	['stop', 'persuaded', 'fund', 'put', 'called']		assistant				
22339	23499575	Lionel Grey			['guest', 'expedition']	explorer				
22340	4451440	Ryan	['bit', 'geek', 'composes', 'help', 'nervous', 'begins', 'win']	['treat', 'advises', 'see', 'jerk', 'realizes']						
22341	4451440	Maggie	['reluctant', 'realizes']	['see', 'take', 'convince']	['neighbor']					
22342	4451440	Chris	['has', 'comes']	['help']	['affection']					
22343	4451440	Ashley		['realizes', 'treat', 'win']	['bomb']					
22344	1291587	Lady Jane	['appears', 'leads', 'explains', 'replies']		['words']					
22345	1291587	Becky Sharp	['repeating', 'asks', 'spots', 'replies', 'nears', 'tries', 'tells']	['reach', 'convince']	['son']					him
22346	1291587	Rawdon Crawley	['notices', 'asks', 'reveals', 'says', 'exclaims']							
22347	4191487	Rachel	['fell', 'suggests', 'walking', 'leans', 'continues', 'withdraws', 'it', 'realizes', 'confronts', 'confesses', 'happy', 'tracks', 'celebrating', 'runs']	['deny', 'encourages', 'walks', 'friends']	['mother', 'sister', 'near', 'her']					
22348	4191487	Luce	['has', 'happy', 'walks', 'manages', 'it', 'florist', 'decides', 'taught', 'brushing', 'mentions']	['tracks', 'tells', 'fell', 'made', 'fix', 'kiss', 'realizes', 'confronts', 'invited']	['shop', 'trip']	florist				
22349	4191487	Ned		['dazed']						
22350	4191487	Henrietta			['sister']					
